Question,Equation,Answer,Numbers
"Karen added N_00 of a cup of walnuts to a batch of trail mix. Later, she added N_00 of a cup of almonds. How many cups of nuts did Karen put in the trail mix in all?",v0 = N_00 + N_00,0.5,0.25
"The school cafeteria had N_00 apples. If they used N_01 to make lunch for the students and then bought N_02 more, how many apples would they have?",v0 = ( ( N_00 + N_02 ) - N_01 ),23.0,12.0 8.0 19.0
"A vase can hold N_00 flowers. If you had N_01 carnations and N_02 roses, how many vases would you need to hold the flowers?",v0 = ( ( N_01 + N_02 ) / N_00 ),9.0,6.0 7.0 47.0
Twice a number decreased by N_00 is N_01 times the sum of the number and N_02 times the number. What is the number?,v0 = N_00 / ( N_02 - N_01 * ( 1.0 + N_02 ) ),-3.0,39.0 5.0 2.0
"While making desserts for a bake sale, Victor used N_00 scoops of brown sugar as well as N_01 scoops of white sugar. How much more brown sugar did Victor use?",v0 = N_00 - N_01,0.375,0.625 0.25
"Will had N_00 dollars. If he spent N_01 bucks on a new game, how many N_02 dollar toys could he buy with the money he had left?",v0 = ( ( N_00 - N_01 ) / N_02 ),9.0,83.0 47.0 4.0
"Gwen had N_00 math problems and N_01 science problems for homework. If she finished N_02 of the problems at school, how many problems did she have to do for homework?",v0 = ( ( N_00 + N_01 ) - N_02 ),5.0,18.0 11.0 24.0
Each CD rack holds N_00 CDs. A shelf can hold N_01 racks. How many total CDs can fit on the shelf?,v0 = ( N_00 * N_01 ),32.0,8.0 4.0
Helen starts with N_00 oranges. She gets N_01 more from Ann. How many oranges does Helen end with?,v0 = ( N_00 + N_01 ),38.0,9.0 29.0
Jeffrey wants to split a collection of bottle caps into groups of N_00 . Jeffrey has N_01 bottle caps. How many groups will be created?,v0 = ( N_01 / N_00 ),6.0,2.0 12.0
Molly had N_00 candles on her birthday cake. She grew older and got N_01 more on her birthday cake. How old is Molly now?,v0 = ( N_00 + N_01 ),20.0,14.0 6.0
There are N_00 baskets. There are N_01 apples in each basket. How many apples are there in all?,v0 = N_00 * N_01,629.0,37.0 17.0
Jessica has N_00 dozen red marbles. Sandy has N_01 times more red marbles than Jessica. How many red marbles does Sandy have?,v0 = ( N_00 * 12.0 ) * N_01,144.0,3.0 4.0
Bob will rent a car for the weekend. He can choose one of N_04 payment plans. The first plan costs N_00 for N_04 days plus N_01 cents per mile. The second plan costs N_02 for N_04 days plus N_03 cents per mile. How many miles does Bob need to drive for the N_04 plans to cost the same?,v0 = ( N_00 - N_02 ) / ( N_03 * 0.01 - N_01 * 0.01 ),240.0,57.98 13.0 45.98 18.0 2.0
"A worksheet had N_00 problems on it. If a teacher had N_01 worksheets to grade and had already graded N_02 of them, how many more problems does she have to grade?",v0 = ( N_00 * ( N_01 - N_02 ) ),14.0,2.0 14.0 7.0
"Bianca was planting vegetables in her garden. She started with N_00 seeds and planted N_01 of them in the big garden, and in each of her small gardens, she put N_02 seeds each. How many small gardens did Bianca have?",v0 = ( ( N_00 - N_01 ) / N_02 ),6.0,52.0 40.0 2.0
"In fourth grade, there were N_00 students at the start of the year. During the year, N_01 students left, and N_02 new students came to school. How many students were in fourth grade at the end?",v0 = ( ( N_00 + N_02 ) - N_01 ),48.0,10.0 4.0 42.0
Johnny practiced for the track team and ran N_00 laps per minute. How many minutes did it take Johnny to run N_01 laps?,v0 = ( N_01 / N_00 ),3.33333,3.0 10.0
"Chloe was playing a video game where she scores N_00 points for each treasure she finds. If she found N_01 treasures on the first level and N_02 on the second, what would her score be?",v0 = ( N_00 * ( N_01 + N_02 ) ),81.0,9.0 6.0 3.0
"Mrs. Heine is buying Valentine's Day treats for her N_00 dogs. If she wants to buy them N_01 heart biscuits each, how many biscuits does she need to buy?",v0 = ( N_00 * N_01 ),6.0,2.0 3.0
A carpenter bought a piece of wood that was N_00 meters long. Then she sawed N_01 meters off the end. How long is the piece of wood now?,v0 = N_00 - N_01,0.08,0.41 0.33
A student is pricing N_04 different picture packages. John's Photo World charges N_00 dollars per sheet and a one-time sitting fee of N_01 dollars. Sam's Picture Emporium charges N_02 dollars per sheet and a one-time sitting fee of N_03 dollars. For how many sheets of pictures do the N_04 companies charge the same amount?,v0 = ( N_03 - N_01 ) / ( N_00 - N_02 ),12.0,2.75 125.0 1.5 140.0 2.0
"Bianca and her mom were picking carrots from their garden. Bianca picked N_00 , and her mother picked N_01 . If only N_02 of the carrots were good, how many bad carrots did they have?",v0 = ( ( N_00 + N_01 ) - N_02 ),25.0,26.0 15.0 16.0
N_00 of what number of gallons is N_01 gallons?,v0 = N_01 / ( 2.75 * 0.01 ),1900.0,0.0275 52.25
Norma starts with N_00 bananas. She loses N_01 . How many bananas does Norma end with?,v0 = ( N_00 - N_01 ),2.0,47.0 45.0
"Betty also bought N_00 shiny blue round stones. If N_01 pieces of this stone are in each bracelet, how many bracelets of blue shiny round stones will there be?",v0 = N_00 / N_01,10.0,140.0 14.0
"Michelle began her pizza delivery route with N_00 tanks of gas in her car. When she made it back to the pizzeria, N_01 tank of gas was left. How much gas did Michelle use?",v0 = N_00 - N_01,0.3333333333333333,0.5 0.16666666666666666
Mrs. Hilt ate N_00 apples every hour. How many apples had she eaten at the end of N_01 hours?,v0 = ( N_00 * N_01 ),15.0,5.0 3.0
"The number of gears a machine can make varies directly by how long it operates. If it can make N_00 gears in N_01 hours, How many gears can it make in N_02 hours?",v0 = ( N_02 * N_00 ) / N_01,2349.0,2088.0 8.0 9.0
Melissa has N_00 oranges. John takes N_01 away. How many oranges will Melissa have?,v0 = ( N_00 - N_01 ),51.0,70.0 19.0
Mandy made an apple pie. She used N_00 of a tablespoon of cinnamon and N_01 of a tablespoon of nutmeg. How much more cinnamon than nutmeg did Mandy use?,v0 = N_00 - N_01,0.16666666666666666,0.6666666666666666 0.5
"When Jake had one cat, he needed to serve N_00 of a can of cat food each day. Now that Jake has adopted a second cat, he needs to serve a total of N_01 of a can each day. How much extra food is needed to feed the second cat?",v0 = N_01 - N_00,0.4,0.5 0.9
Jason had Pokemon cards. He gave N_00 Pokemon cards to his friends. He now has N_01 Pokemon cards left. How many Pokemon cards did he have to start with?,v0 = N_00 + N_01,13.0,9.0 4.0
"There were N_00 students riding on the school bus. At the first stop, N_01 students got off of the bus. How many students are left on the bus?",v0 = ( N_00 - N_01 ),7.0,10.0 3.0
"While making pastries, a bakery used N_00 of a bag of wheat flour and N_01 of a bag of white flour. How many bags of flour did the bakery use in all?",v0 = N_00 + N_01,0.3,0.2 0.1
"Cody had N_00 dollars. For his birthday, he got N_01 more dollars but spent N_02 on a new game. How much money does he have now?",v0 = ( ( N_00 + N_01 ) - N_02 ),35.0,45.0 9.0 19.0
"A chef needs to cook N_00 potatoes. He has already cooked N_01 . If each potato takes N_02 minutes to cook, how long will it take him to cook the rest?",v0 = ( N_02 * ( N_00 - N_01 ) ),6.0,9.0 7.0 3.0
"Rescue crews working for Stockton Rescue average N_04 calls per shift. After his first N_00 shifts, Brian had received N_01 , N_02 , N_03 , and N_04 calls, respectively. How many calls will Brian need on his next shift for his average to be N_04 ?",v0 = N_01 * N_04 - ( N_01 + N_02 + N_03 + N_04 ),4.0,4.0 5.0 2.0 1.0 3.0
"A construction company is repaving a damaged road. So far, they have repaved a total of N_00 inches of the road. Today, they repaved N_01 inches of the road. How many inches of the road had they repaved before today?",v0 = N_00 - N_01,4133.0,4938.0 805.0
Lewis then went to see the oranges being harvested. Lewis found out that they harvest N_00 sacks per day. How many sacks of oranges will they have after N_01 days of harvest?,v0 = N_00 * N_01,498.0,83.0 6.0
"April's discount flowers was having a sale where each flower was N_00 dollars. If Katie bought N_01 roses and N_01 daisies, how much did she spend?",v0 = ( N_00 * ( N_01 + N_01 ) ),60.0,6.0 5.0
Alyssa's dog had puppies. She gave N_00 to her friends. She now has N_01 puppies left. How many puppies did she have to start with?,v0 = N_00 + N_01,12.0,7.0 5.0
Twice the sum of a number and N_00 is N_01 less than N_02 times the number. Find the number.,v0 = ( 2.0 * N_00 + N_01 ) / ( N_02 - 2.0 ),44.0,11.0 22.0 3.0
"Dan spent $ N_00 on a snake toy, and a cage cost him $ N_01 . Dan also found a dollar bill on the ground. What was the total cost of Dan's purchases?",v0 = N_00 + N_01,26.3,11.76 14.54
A new virus is released on the internet. The administrator of a department's LAN is given N_00 minutes by a manager to estimate the impact. The administrator samples N_01 of the PCs connected to the LAN and finds that N_02 are infected. Use a proportion to estimate the number of infected PCs if there are a total of N_03 PCs connected to the LAN.,v0 = N_03 * ( N_02 / N_01 ),126.0,5.0 12.0 7.0 216.0
"Cody bought N_00 boxes of chocolate candy and N_01 boxes of caramel candy. If each box has N_02 pieces inside it, how much candy did he have in total?",v0 = ( N_02 * ( N_00 + N_01 ) ),80.0,7.0 3.0 8.0
Priya needs N_00 cupcakes for a birthday party. She already has N_01 chocolate cupcakes and N_02 vanilla cupcakes. How many more cupcakes should Priya buy?,v0 = N_00 - ( N_01 + N_02 ),14.0,54.0 15.0 25.0
"A neighborhood grocer sells a mix of chocolate and carob candy. The chocolate cost N_00 dollars a pound, and the carob costs N_01 dollars a pound. If N_02 pounds of chocolate and N_03 pounds of carob candy are used, what is the cost per pound of the mixture in dollars?",v0 = ( ( N_00 * N_02 ) + ( N_01 * N_03 ) ) / ( N_02 + N_03 ),2.6,2.7 2.55 20.0 40.0
My car gets N_00 miles per gallon. How many miles can I drive on N_01 gallons of gas?,v0 = ( N_00 * N_01 ),100.0,20.0 5.0
"Joan had N_00 Pokemon cards, and N_01 were torn. Sara bought N_02 of Joan's Pokemon cards. How many Pokemon cards does Joan have now?",v0 = N_00 - N_02,562,695.0 6.0 133.0
"Joan grew N_00 pumpkins, Keith grew N_01 pumpkins, and Alyssa grew N_02 pumpkins. They worked for N_03 days on the farm. How many pumpkins did they grow in all?",v0 = N_00 + N_01 + N_02,79,24.0 42.0 13.0 34.0
"On Friday, Sam spent N_00 pennies on ice cream. The next day, Sam spent N_01 dimes on baseball cards. All in all, how much money did Sam spend?",v0 = ( N_00 * 0.01 ) + ( N_01 * 0.1 ),1.22,2.0 12.0
Keith bought N_00 eggs from the store to bake some cakes. How many dozen eggs did Keith buy?,v0 = N_00 / 12.0,6.0,72.0
"Abe's family moved from the Bahamas to Japan, so they had to convert their money into Japanese yen. Their checking account now has N_00 yen, and their savings account now has N_01 yen. How many yen do they have?",v0 = N_00 + N_01,9844.0,6359.0 3485.0
"Gwen and her friends were recycling paper for their class. For every N_00 pounds they recycled, they earned one point. If Gwen recycled N_01 pounds and her friends recycled N_02 pounds, how many points did they earn?",v0 = ( ( N_01 + N_02 ) / N_00 ),6.0,3.0 5.0 13.0
"Haley was planting vegetables in her garden. She started with N_00 seeds and planted N_01 of them in the big garden, and in each of her small gardens, she put N_02 seeds each. How many small gardens did Haley have?",v0 = ( ( N_00 - N_01 ) / N_02 ),7.0,56.0 35.0 3.0
"There is N_00 cup of oil in Scarlett's measuring cup. If Scarlett adds N_01 cups more, how much oil will be in the measuring cup?",v0 = N_00 + N_01,0.8333333333333334,0.16666666666666666 0.6666666666666666
Jason has N_00 blue and N_01 red marbles. Tom has N_02 blue marbles. How many blue marbles do they have in all?,v0 = N_00 + N_02,67,43.0 16.0 24.0
"There were N_00 friends playing a video game online when N_01 more players joined the game. If each player had N_02 lives, how many lives did they have in total?",v0 = ( N_02 * ( N_00 + N_01 ) ),60.0,8.0 2.0 6.0
There are N_00 rulers in the drawer. Tim took N_01 rulers from the drawer. How many rulers are now in the drawer?,v0 = N_00 - N_01,21.0,46.0 25.0
Darnel sprinted N_00 of a lap and then took a break by jogging N_01 of a lap. How much farther did Darnel sprint than jog?,v0 = N_00 - N_01,0.125,0.875 0.75
Joan purchased a basketball game for $ N_00 and a racing game for $ N_01 . How much did Joan spend on video games?,v0 = N_00 + N_01,9.43,5.2 4.23
Mike worked N_00 hours each day for N_01 days. How many hours did he work in total?,v0 = N_00 * N_01,15.0,3.0 5.0
Paula's aunt gave her $ N_00 to spend on clothes at the mall. She bought N_01 shirts that cost $ N_02 each and a pair of pants that cost $ N_03 . How much money does Paula have left to buy more clothes?,v0 = N_00 - ( ( N_01 * N_02 ) + N_03 ),74.0,109.0 2.0 11.0 13.0
"There school's baseball team had N_00 new players and N_01 returning players. If the coach put them into groups with N_02 players in each group, how many groups would there be?",v0 = ( ( N_00 + N_01 ) / N_02 ),2.0,4.0 6.0 5.0
"Paige's team won their dodgeball game and scored N_00 points total. If Paige scored N_01 of the points and everyone else scored N_02 points each, how many players were on her team?",v0 = ( ( N_00 - N_01 ) / N_02 ),5.0,41.0 11.0 6.0
Bobby collects N_00 blocks. Bobby's father gives Bobby N_01 more. How many blocks does Bobby have?,v0 = ( N_00 + N_01 ),8.0,2.0 6.0
Bobby has N_00 books. Kristi has N_01 books. How many more books does Bobby have than Kristi?,v0 = ( N_00 - N_01 ),64.0,142.0 78.0
"Eric has N_00 erasers. If he shares them among N_01 friends, how many erasers does each friend get?",v0 = ( N_00 / N_01 ),94.0,9306.0 99.0
"Haley baked N_00 cupcakes for her school's bake sale. If her brother, Todd, ate N_01 of them. How many packages could she make if she put N_02 cupcakes in each package?",v0 = ( ( N_00 - N_01 ) / N_02 ),3.0,20.0 11.0 3.0
"A construction company ordered N_00 of a ton of concrete, N_00 of a ton of bricks, and N_01 of a ton of stone. How many tons of material did the company order in all?",v0 = N_00 + N_00 + N_01,0.8333333333333334,0.16666666666666666 0.5
"Benny picked N_00 apples, and Dan picked N_01 apples from the apple tree. How many apples were picked in total?",v0 = N_00 + N_01,11,2.0 9.0
"There school's baseball team had N_00 new players and N_01 returning players. If the coach put them into groups with N_02 players in each group, how many groups would there be?",v0 = ( ( N_00 + N_01 ) / N_02 ),2.0,2.0 6.0 4.0
Mika had N_01 stickers. She bought N_00 stickers from a store in the mall and got N_01 stickers for her birthday. Then Mika gave N_02 of the stickers to her sister and used N_03 to decorate a greeting card. How many stickers does Mika have left?,v0 = ( ( N_01 + N_00 ) + N_01 ) - ( N_02 + N_03 ),2.0,26.0 20.0 6.0 58.0
Beka flew N_00 miles to visit her aunt. Jackson flew N_01 miles to visit his aunt. How many more miles did Beka fly than Jackson?,v0 = ( N_00 - N_01 ),310.0,873.0 563.0
"Each chocolate bar in a box costs $ N_00 . If a box had N_01 bars total and Rachel sold all but N_02 bars, how much money would she have made?",v0 = ( N_00 * ( N_01 - N_02 ) ),18.0,2.0 13.0 4.0
Kaleb had N_00 pieces of clothing to wash. He put N_01 of them in one load but decided to split the rest into N_02 equal loads. How many pieces of clothing could go in each of the small loads?,v0 = ( ( N_00 - N_01 ) / N_02 ),4.0,39.0 19.0 5.0
It took Katherine N_00 hours to run to Louis's house at N_01 miles per hour. How far is it between Katherine's house and Louis's house?,v0 = ( N_00 * N_01 ),24.0,3.0 8.0
A certain number is N_00 less than N_01 times the next number. Find the Number.,v0 = ( N_00 - N_01 ) / ( N_01 - 1.0 ),4.0,11.0 3.0
"One stamp costs N_00 cents. If the cost of each stamp remains the same, how much would N_01 stamps cost?",v0 = N_00 * N_01,134.0,34.0 4.0
Norma has N_00 cards. She loses N_01 . How many cards will Norma have?,v0 = ( N_00 - N_01 ),18.0,88.0 70.0
"Debby had N_00 coloring books. If she gave away N_01 of them but then bought N_02 more, how many would she have in total?",v0 = ( ( N_00 + N_02 ) - N_01 ),58.0,30.0 7.0 35.0
"For Halloween, Emily received N_00 pieces of candy. She ate N_01 pieces then placed the rest into piles with N_02 in each pile. How many piles could she make?",v0 = ( ( N_00 - N_01 ) / N_02 ),3.0,54.0 33.0 7.0
William has N_00 bottle caps. He buys N_01 more. How many bottle caps does William have in all?,v0 = ( N_00 + N_01 ),43.0,2.0 41.0
"Tom had to wash N_00 short sleeve shirts and N_01 long sleeve shirts before school. If he had only washed N_02 of them by the time school started, how many did he not wash?",v0 = ( ( N_00 + N_01 ) - N_02 ),30.0,10.0 25.0 5.0
"Robin's class is going on a field trip to the zoo. If each van can hold N_00 people and there are N_01 students and N_02 adults going, how many vans will they need?",v0 = ( ( N_01 + N_02 ) / N_00 ),3.0,8.0 22.0 2.0
The Silvergrove Public Library used a grant to purchase N_00 books. Now the library has a total of N_01 books. How many books did the library have before the grant?,v0 = N_01 - N_00,5935.0,2647.0 8582.0
"A worksheet had N_00 problems on it. If a teacher had N_01 worksheets to grade and had already graded N_02 of them, how many more problems does she have to grade?",v0 = ( N_00 * ( N_01 - N_02 ) ),24.0,3.0 15.0 7.0
"In fourth grade, there were N_00 students at the start of the year. During the year, N_01 students left, and N_02 new students came to school. How many students were in fourth grade at the end?",v0 = ( ( N_00 + N_02 ) - N_01 ),37.0,31.0 5.0 11.0
Mrs. Hilt uses N_00 ounces of detergent to wash a pound of clothes. How many ounces of soap will she use to wash N_01 pounds of clothes?,v0 = ( N_00 * N_01 ),18.0,2.0 9.0
"Sam was collecting cans for recycling. On Saturday, he filled N_00 bags up, and on Sunday, he filled N_01 more bags. If each bag had N_02 cans in it, how many cans did he pick up in total?",v0 = ( N_02 * ( N_00 + N_01 ) ),42.0,4.0 3.0 6.0
Mark sprinted N_00 miles at N_01 miles per hour. How long did Mark sprint?,v0 = ( N_00 / N_01 ),4.0,24.0 6.0
"This afternoon Craig left school, rode the bus N_00 miles, and then walked N_01 of a mile to get home. How much farther did Craig ride than walk?",v0 = N_00 - N_01,3.6666666666666665,3.8333333333333335 0.16666666666666666
"Clarence has N_00 oranges. He gets N_01 more from Joyce. Later, Clarence buys N_02 Skittles at the store. How many oranges does Clarence have in all?",v0 = ( N_00 + N_01 ),8.0,5.0 3.0 9.0
"Oliver had N_00 dollars in January. By March, he had spent N_01 dollars. If he got another N_02 dollars from his mom, how much money would he have?",v0 = ( ( N_00 + N_02 ) - N_01 ),61.0,33.0 4.0 32.0
"Faye was selling her necklaces at a garage sale. She sold N_00 bead necklaces and N_01 gemstone necklaces. If each necklace cost N_01 dollars, how much money did she earn?",v0 = ( N_01 * ( N_00 + N_01 ) ),70.0,3.0 7.0
"Paul was collecting cans for recycling. On Saturday, he filled N_00 bags up, and on Sunday, he filled N_01 more bags. If each bag had N_02 cans in it, how many cans did he pick up in total?",v0 = ( N_02 * ( N_00 + N_01 ) ),72.0,6.0 3.0 8.0
"The cafeteria had N_00 apples. For lunch, they handed out N_01 to students and decided to use the rest to make pies. If each pie takes N_02 apples, how many pies could they make?",v0 = ( ( N_00 - N_01 ) / N_02 ),5.0,47.0 27.0 4.0
Carolyn starts with N_00 marbles and N_01 oranges. She shares N_02 with Diana. How many marbles does Carolyn end with?,v0 = ( N_00 - N_02 ),5.0,47.0 6.0 42.0
"N_00 evening, a restaurant served a total of N_01 loaves of wheat bread and N_02 loaves of white bread. How many loaves were served in all?",v0 = N_01 + N_02,0.6,1.0 0.2 0.4
"After paying N_00 dollars for the pie, Mary has N_01 dollars. Her friend has N_02 dollars. How much money did she have before buying the pie?",v0 - N_00 = N_01,58,6.0 52.0 43.0
Clarence has N_00 tickets. He gives N_01 to Eugene. How many tickets will Clarence have?,v0 = ( N_00 - N_01 ),92.0,99.0 7.0
"Paige had N_00 songs on her mp3 player. If she deleted N_01 old songs from it and then added N_02 new songs, how many songs does she have on her mp3 player?",v0 = ( ( N_00 + N_02 ) - N_01 ),33.0,8.0 5.0 30.0
"A waiter had N_00 tables he was waiting on, with N_01 women and N_02 men at each table. How many customers total did the waiter have?",v0 = ( N_00 * ( N_01 + N_02 ) ),63.0,9.0 4.0 3.0
"Gloria has N_00 pencils. Lisa has N_01 pencils. If Lisa gives all of her pencils to Gloria, how many pencils will Gloria have?",v0 = ( N_00 + N_01 ),101.0,2.0 99.0
"During a visit to an orchard, Charlie picked N_00 of a bag of Golden Delicious apples, N_00 of a bag of Macintosh apples, and N_01 of a bag of Cortland apples. How many bags of fruit did Charlie pick in total?",v0 = N_00 + N_00 + N_01,0.6666666666666666,0.16666666666666666 0.3333333333333333
A recipe calls for N_00 cups of diced green pepper. Give the number of cups of diced green pepper that should be used to make N_01 of this recipe.,v0 = N_00 * N_01,0.3333,0.6667 0.5
Omar and Karen made egg rolls to share at the school potluck. Omar rolled N_00 egg rolls. Karen rolled N_01 egg rolls. What is the total number of egg rolls Omar and Karen rolled?,v0 = ( N_00 + N_01 ),448.0,219.0 229.0
Tom and his friend were buying trick decks from the magic shop for N_00 dollars each. How much did they spend if Tom bought N_01 decks and his friend bought N_02 decks?,v0 = ( N_00 * ( N_01 + N_02 ) ),64.0,8.0 3.0 5.0
"Frank was collecting cans for recycling. On Saturday, he filled N_01 bags up, and on Sunday, he filled N_00 more bags. If each bag had N_01 cans in it, how many cans did he pick up in total?",v0 = ( N_01 * ( N_01 + N_00 ) ),40.0,3.0 5.0
"A teacher had N_00 worksheets to grade. If she graded N_01 , but then another N_02 were turned in, how many worksheets would she have to grade?",v0 = ( ( N_00 + N_02 ) - N_01 ),49.0,38.0 4.0 15.0
A perfect score is N_00 points. How many points would you have after N_01 perfect games in a row?,v0 = ( N_00 * N_01 ),63.0,21.0 3.0
Tom had N_00 pennies and N_01 dimes in his bank. His dad gave him N_02 dimes and N_03 nickels. How many dimes does he have now?,v0 = N_01 + N_02,48,27.0 15.0 33.0 49.0
"Ned had N_00 video games, but N_01 of them weren't working. If he wanted to sell the working games for $ N_02 each, how much money could he earn?",v0 = ( N_02 * ( N_00 - N_01 ) ),63.0,15.0 6.0 7.0
Carla has some marbles. She bought N_00 marbles. Now she has N_01 marbles. How many did she start with?,v0 = ( N_01 - N_00 ),53.0,134.0 187.0
"If books came from all the N_01 continents that Bryan had been into and he collected N_00 books per continent, how many books does he have from all N_01 continents combined?",v0 = N_01 * N_00,488.0,122.0 4.0
Mike has N_00 books in his library. He bought several books at a yard sale over the weekend. He now has N_01 books in his library. How many books did he buy at the yard sale?,v0 = N_01 - N_00,21,35.0 56.0
Adam has $ N_00 to buy an airplane that costs $ N_01 . How much change will he get?,v0 = ( N_00 - N_01 ),0.72,5.0 4.28
"A magician was selling magic card decks for N_01 dollars each. If he started with N_00 decks and by the end of the day he had N_01 left, how much money did he earn?",v0 = ( N_01 * ( N_00 - N_01 ) ),45.0,14.0 5.0
"Kendra made punch for her friend's birthday party. She used N_00 of a gallon of grape juice, N_01 of a gallon of cranberry juice, and N_02 of a gallon of club soda. How many gallons of punch did Kendra make?",v0 = N_00 + N_01 + N_02,0.75,0.25 0.375 0.125
If N_00 of N_01 pets are cats. How many are cats?,v0 = N_00 * N_01,4.0,0.5 8.0
"Diana has N_00 erasers. If she shares them among N_01 friends, how many erasers does each friend get?",v0 = ( N_00 / N_01 ),80.0,3840.0 48.0
Angela has N_00 tickets. Annie gives Angela N_01 more. How many tickets does Angela have in all?,v0 = ( N_00 + N_01 ),15.0,11.0 4.0
"Debby bought two coloring books. One had N_00 pictures, and the other had N_01 . After one week, she had already colored N_02 of the pictures. How many pictures does she still have to color?",v0 = ( ( N_00 + N_01 ) - N_02 ),23.0,16.0 40.0 33.0
"Each chocolate bar in a box costs $ N_01 . If a box had N_00 bars total and Wendy sold all but N_01 bars, how much money would she have made?",v0 = ( N_01 * ( N_00 - N_01 ) ),18.0,9.0 3.0
N_00 students are going to the zoo. They have to be divided into groups so that each teacher has one group. There are N_01 teachers. How many students will be in each group?,v0 = ( N_00 / N_01 ),32.0,256.0 8.0
"On Saturday, Sara spent $ N_00 each on N_01 tickets to a movie theater. Sara also rented a movie for $ N_02 and bought a movie for $ N_03 . How much money in total did Sara spend on movies?",v0 = ( N_01 * N_00 ) + N_02 + N_03,36.78,10.62 2.0 1.59 13.95
"Rose has N_00 apples and N_01 erasers. If she shares the apples among N_02 friends, how many apples does each friend get?",v0 = ( N_01 - N_00 ),3.0,9.0 12.0 3.0
Sally had N_00 peaches left at her roadside fruit stand. She went to the orchard and picked more peaches to stock up the stand. There are now N_01 peaches at the stand. How many did she pick?,v0 = N_01 - N_00,42.0,13.0 55.0
Lizette has N_00 stamps. Lizette has N_01 more stamps than Minerva. How many stamps does Minerva have?,v0 = N_00 - N_01,688.0,813.0 125.0
"A waiter had N_00 customers to wait on. If N_01 customers left and he got another N_02 customers, how many customers would he have?",v0 = ( ( N_00 + N_02 ) - N_01 ),28.0,33.0 31.0 26.0
Kathleen went to the store N_00 times last month. She buys N_00 bottle caps each time she goes to the store. How many bottle caps did Kathleen buy last month?,v0 = ( N_00 * N_00 ),25.0,5.0
Eve ran N_00 miles and walked N_01 miles. How much farther did Eve run than walk?,v0 = N_00 - N_01,0.1,0.7 0.6
Scarlett made a fruit salad with N_00 of a pound of melon and N_01 of a pound of berries. How many pounds of fruit did Scarlett use in all?,v0 = N_00 + N_01,0.625,0.25 0.375
"Sam's dog had puppies, and N_00 had spots. He gave N_01 to his friends. He now has N_02 puppies. How many puppies did he have to start with?",v0 - N_01 = N_02,8,8.0 2.0 6.0
"While on vacation, Nancy took N_00 pictures at the zoo and N_01 at the museum. If she later deleted N_02 of the pictures, how many pictures from her vacation did she still have?",v0 = ( ( N_00 + N_01 ) - N_02 ),19.0,49.0 8.0 38.0
"Kendra made punch for her friend's birthday party. She used N_00 gallons of grape juice, N_01 gallons of cranberry juice, and N_02 gallons of club soda. How many gallons of punch did Kendra make?",v0 = N_00 + N_01 + N_02,0.75,0.25 0.375 0.125
There are N_00 pencils and N_01 crayons in the drawer. Joan placed N_02 pencils in the drawer. How many pencils are now there in total?,v0 = N_00 + N_02,60,33.0 44.0 27.0
"On N_00 consecutive passes, a football team gains N_01 yards, loses N_02 yards, and gains N_03 yards. What number represents the total net yardage?",v0 = ( N_01 - N_02 ) + N_03,0.0,3.0 7.0 31.0 24.0
Mary had N_00 nickels in her bank. Her dad gave her N_01 more nickels. How many nickels does Mary have now?,v0 = N_00 + N_01,12.0,7.0 5.0
Martha is inviting N_00 friends to a party. She has N_01 cookies. How many cookies will each friend get?,v0 = ( N_01 / N_00 ),3.0,4.0 12.0
"At a pie-eating contest, Erik got through N_00 of a pie before time was called; Frank finished just N_01 of a pie. How much more pie did Erik eat than Frank?",v0 = N_00 - N_01,0.3333333333333333,0.6666666666666666 0.3333333333333333
"John and Jim needed to meet to discuss changes in a construction project. They were N_00 miles apart. If they met after N_01 hours and both traveled at the same speed, how fast did each go in miles per hour?",v0 = N_00 / 2.0 / N_01,55.0,880.0 8.0
Sandy sold half of her comic books and then bought N_00 more. She now has N_01 . How many did she begin with?,v0 = ( N_01 - N_00 ) * 2.0,14.0,6.0 13.0
"At a restaurant, each adult meal costs $ N_00 , and kids eat free. If a group of N_01 people came in and N_02 were kids, how much would it cost for the group to eat?",v0 = ( N_00 * ( N_01 - N_02 ) ),72.0,8.0 11.0 2.0
"Faye had N_00 coloring books. If she gave away N_01 of them but then bought N_02 more, how many would she have in total?",v0 = ( ( N_00 + N_02 ) - N_01 ),79.0,34.0 3.0 48.0
"N_00 cell phone plan costs N_01 dollars per month. The first N_04 minutes of use are free. Each minute thereafter costs N_02 dollars. For a bill of N_03 dollars, how many minutes over N_04 was the cell phone in use?",v0 = ( N_03 - N_01 ) / N_02,250.0,1.0 49.95 0.25 112.45 2500.0
"If Heather bicycled N_00 kilometers at N_01 kilometers per hour, how long was Heather bicycling?",v0 = ( N_00 / N_01 ),5.0,40.0 8.0
James had N_00 stickers. He got some more stickers for his birthday. Then he had N_01 stickers. How many stickers did James get for his birthday?,v0 = ( N_01 - N_00 ),22.0,39.0 61.0
"There is N_00 of a cup of oil in Scarlett's measuring cup. If Scarlett adds N_01 of a cup more, how much oil will be in the measuring cup?",v0 = N_00 + N_01,0.8333333333333334,0.16666666666666666 0.6666666666666666
There are N_00 boys and some girls on the playground. There are N_01 children altogether. How many girls are on the playground?,v0 = ( N_01 - N_00 ),77.0,40.0 117.0
