Question,Equation,Answer,Numbers
Bob ’ s car gets N_00 kilometers per gallon . How far can he drive on N_01 gallons of gas ?,N_00 * N_00,100.0,10.0 10.0
Joan has N_00 green and N_01 red marbles . Fred took N_02 of Joan 's green marbles . How many green marbles does Joan now have ?,N_00 - N_02,23.0,47.0 48.0 24.0
A store had N_00 oranges in a bin . If they threw away N_01 of the old ones and put N_02 new ones in the bin how many would be in the bin ?,N_00 + N_02 - N_01,10.0,40.0 37.0 7.0
Alyssa picked N_00 plums and Jason picked N_01 plums . Melanie picked N_02 pears . How many plums were picked in all ?,N_00 + N_01,27.0,17.0 10.0 35.0
There are N_00 crayons in the drawer . Benny placed N_01 more crayons in the drawer . How many crayons are now there in total ?,N_00 + N_01,12.0,9.0 3.0
"April 's discount flowers was having a sale where each flower was N_00 dollars . If Emily bought N_01 roses and N_02 daisies , how much did she spend ?",N_00 * ( N_01 + N_01 ),12.0,3.0 2.0 2.0
"Sam grew N_00 watermelons , but the rabbits ate N_01 watermelons . How many watermelons does Sam have left ?",N_00 - N_01,1.0,4.0 3.0
The farmers reported that they harvest N_00 sacks of apples from each of the N_01 sections of the orchard daily . How many sacks are harvested every day ?,N_00 * N_01,360.0,45.0 8.0
"Luke made N_00 dollars mowing lawns and N_01 dollars weed eating . If he only spent N_02 dollar a week , how long would the money last him ?",( N_00 + N_01 ) / N_02,9.0,9.0 18.0 3.0
"Sally paid $ N_00 total for peaches , after a N_01 dollar coupon , and $ N_02 for cherries . In total , how much money did Sally spend ?",N_00 + N_02,23.86,12.32 3.0 11.54
Mary has N_00 yellow marbles Joan has N_01 yellow marbles . How many yellow marbles do they have in all ?,N_00 + N_01,12.0,9.0 3.0
There are N_00 calories in a candy bar . How many calories are there in N_01 candy bars ?,N_00 * N_01,15.0,3.0 5.0
"At the arcade Jerry won N_00 tickets . If he spent N_01 tickets on a beanie and later won N_02 more tickets , how many would he have ?",N_00 + N_02 - N_01,49.0,4.0 2.0 47.0
"Bianca had N_00 songs on her mp3 player . If she deleted N_01 old songs from it and then added N_02 new songs , how many songs does she have on her mp3 player ?",N_00 + N_02 - N_01,64.0,34.0 14.0 44.0
"Megan 's class is going on a field trip to the zoo . If each van can hold N_00 people and there are N_01 students and N_02 adults going , how many vans will they need ?",( N_00 + N_01 ) / N_00,6.0,5.0 25.0 5.0
There were N_00 geese and N_01 ducks in the marsh . How many birds were in the marsh ?,N_00 + N_01,95.0,58.0 37.0
Kylie was collecting coins . She got N_00 coins from her piggy bank and N_01 coins from her brother . Her father gave Kylie N_02 coins . Kylie gave N_03 of the coins to her friend Laura . How many coins did Kylie have left ?,N_00 + N_01 + N_02 - N_03,15.0,15.0 13.0 8.0 21.0
"Tom bought N_00 boxes of chocolate candy and gave N_01 to his little brother . If each box has N_02 pieces inside it , how many pieces did Tom still have ?",N_02 * ( N_00 - N_01 ),30.0,12.0 7.0 6.0
Carlos has N_00 blocks . He gives N_01 to Rachel . How many blocks will Carlos have ?,N_00 - N_01,37.0,58.0 21.0
Anna collects N_00 blocks . Anna 's father gives Anna N_01 more . How many blocks does Anna have ?,N_00 + N_01,14.0,6.0 8.0
"Paul had saved up N_00 dollars . If he received another N_01 dollars for his allowance , how many N_02 dollar toys could he buy ?",( N_00 + N_01 ) / N_02,2.0,3.0 7.0 5.0
"Tori is a school janitor . Last week , she picked up a total of N_00 pieces of trash . If she picked up N_01 pieces of trash in the classrooms , how many pieces of trash did Tori pick up outside the classrooms ?",N_00 - N_01,1232.0,1576.0 344.0
"There were a total of N_00 soccer games during the N_01 month season . If the games are equally divided , how many soccer games are played a month ?",N_00 / N_01,9.0,27.0 3.0
"At the fair there were N_00 people in line for the bumper cars . If N_01 of them got tired of waiting and left and N_02 more got in line , how many people would be in line ?",N_00 + N_02 - N_01,6.0,9.0 6.0 3.0
"At the fair there were N_00 people in line for the bumper cars . If N_01 of them got tired of waiting and left and N_02 more got in line , how many people would be in line ?",N_00 + N_01 - N_01,31.0,31.0 25.0 25.0
James has N_00 balloons . Amy has N_01 balloons . How many more balloons does James have than Amy ?,N_00 - N_01,208.0,1222.0 513.0
"At the fair there were N_00 people in line for the bumper cars . If N_01 of them got tired of waiting and left and N_02 more got in line , how many people would be in line ?",N_00 + N_01 - N_01,10.0,10.0 2.0 2.0
Robin has N_00 packages of gum . There are N_01 pieces in each package . How many pieces of gum does Robin have ?,N_00 * N_01,486.0,27.0 18.0
"Paige picked N_00 flowers for her friend ’ s wedding . She was making bouquets with N_01 flowers in each one . If N_02 of the flowers wilted before the wedding , how many bouquets could she still make ?",( N_00 - N_02 ) / N_01,5.0,53.0 7.0 18.0
Mrs. Hilt bought N_00 hot dogs . Each hot dog cost N_01 cents . How much money did she pay for all of the hot dogs ?,N_00 * N_01,300.0,6.0 50.0
"At the fair there were N_00 people in line for the bumper cars . If N_01 of them got tired of waiting and left and N_02 more got in line , how many people would be in line ?",N_00 + N_02 - N_01,17.0,12.0 10.0 15.0
Paco had N_00 cookies . Paco ate N_01 of them . How many cookies did Paco have left ?,N_00 - N_01,78.0,93.0 15.0
Fred has N_00 blue marbles . Fred has N_01 times more blue marbles than Tim . How many blue marbles does Tim have ?,N_00 / N_01,5.0,110.0 22.0
A cereal box holds N_00 cups of cereal . Each serving is N_01 cups . How many servings are in the whole box ?,N_00 / N_01,9.0,18.0 2.0
"Mary found N_00 seashells and Keith found N_01 seashells on the beach . When they cleaned them , they discovered that N_02 were cracked . How many seashells did they find together ?",N_00 + N_01,7.0,2.0 5.0 9.0
"How much interest , in dollars , will you pay on a N_00 dollars loan for N_01 year if the interest rate is N_02 % ?",0.01 * N_00 * N_02,1215.0,8100.0 1.0 15.0
Joan has N_00 blue balloons but lost N_01 of them . How many blue balloons does Joan have now ?,N_00 - N_01,7.0,9.0 2.0
Roger has N_00 blocks . N_01 are eaten by a hippopotamus . How many blocks will Roger have ?,N_00 - N_01,90.0,92.0 2.0
Joan went to N_00 football games this year . She went to N_01 football games last year . How many football games did Joan go to in all ?,N_00 + N_01,13.0,4.0 9.0
"Isha ’ s pencil is N_00 cubes long . If she gets another pencil that is N_01 cubes long , how many cubes long are both pencils ?",N_00 + N_00,24.0,12.0 12.0
"If Joan bicycled N_00 miles at N_01 miles per hour , how long was Joan travelling ?",N_00 / N_01,5.0,25.0 5.0
"Megan baked N_00 cupcakes for her school 's bake sale . If her brother , Todd , ate N_01 of them how many packages could she make if she put N_02 cupcake in each package ?",( N_00 - N_01 ) / N_02,6.0,68.0 32.0 6.0
Mike has N_00 baseball cards . Sam bought N_01 of Mike 's baseball cards . How many baseball cards does Mike have now ?,N_00 - N_01,74.0,87.0 13.0
"Wendy was playing a video game where she scores N_00 points for each treasure she finds . If she found N_01 treasures on the first level and N_02 on the second , what would her score be ?",N_00 * ( N_01 + N_02 ),35.0,5.0 4.0 3.0
There are N_00 cupcakes for N_01 children to share . How much will each person get if they share the cupcakes equally ?,N_00 / N_01,12.0,96.0 8.0
"A florist had N_00 roses . If she sold N_01 of them and then later picked N_02 more , how many roses would she have ?",N_00 + N_02 - N_01,41.0,11.0 2.0 32.0
Jason grew N_00 watermelons and N_01 turnips . Nancy grew N_02 watermelons . How many watermelons did they grow in total ?,N_00 + N_02,51.0,23.0 18.0 28.0
"A florist had N_00 roses . If she sold N_01 of them and then later picked N_02 more , how many roses would she have ?",N_00 + N_02 - N_01,56.0,50.0 15.0 21.0
A pet store had N_00 puppies . In one day they sold N_01 of them and put the rest into cages with N_02 in each cage . How many cages did they use ?,( N_00 - N_01 ) / N_02,8.0,56.0 24.0 4.0
"There are N_00 people on the Green Bay High track team . If a relay race is N_01 meters long , how far will each team member have to run ?",N_01 / N_00,30.0,5.0 150.0
"While shopping , Maria bought N_00 green towels and N_01 white towels . If she gave her mother N_02 of them , how many towels did Maria end up with ?",N_00 + N_01 - N_02,19.0,40.0 44.0 65.0
There are N_00 scissors in the drawer . Keith placed N_01 scissors in the drawer . How many scissors are now there in all ?,N_00 + N_01,76.0,54.0 22.0
Jose starts with N_00 bottle caps . He gets N_01 more from Rebecca . How many bottle caps does Jose end with ?,N_00 + N_01,9.0,7.0 2.0
"Fred picked N_00 limes , Alyssa picked N_01 limes , and Nancy picked N_02 limes and N_03 pears , at the farm . How many limes were picked in total ?",N_00 + N_01 + N_02,103.0,36.0 32.0 35.0 18.0
"The school cafeteria had N_00 apples . If they used N_01 to make lunch for the students and then bought N_02 more , how many apples would they have ?",N_00 + N_02 - N_01,9.0,23.0 20.0 6.0
"During a visit to an orchard , Charlie picked N_00 bag of Golden Delicious apples , N_01 bag of Macintosh apples , and N_02 bag of Cortland apples . How many bags of fruit did Charlie pick in total ?",N_00 + N_00 + N_02,0.6666666666666666,0.16666666666666666 0.16666666666666666 0.3333333333333333
"Bianca earned N_00 points for each bag of cans she recycled . If she had N_01 bags , but did n't recycle N_02 of them , how many points would she have earned ?",N_00 * ( N_01 - N_02 ),45.0,5.0 17.0 8.0
Rachel removes N_00 bottle caps from a jar . There were originally N_01 bottle caps in the jar . How many bottle caps are left in the jar ?,N_01 - N_00,40.0,47.0 87.0
Alyssa had N_00 cookies . Aiyanna has N_01 . How many more cookies does Aiyanna have than Alyssa ?,N_01 - N_00,11.0,129.0 140.0
There are N_00 oak trees currently in the park . Park workers had to cut down N_01 oak trees that were damaged . How many oak trees will be in the park when the workers are finished ?,N_00 - N_01,15.0,33.0 18.0
"A magician was selling magic card decks for N_00 dollars each . If he started with N_01 decks and by the end of the day he had N_02 left , how much money did he earn ?",N_00 * ( N_01 - N_02 ),4.0,2.0 5.0 3.0
Isabel uploaded N_00 pictures to Facebook . She put N_01 pics into one album and put the rest into N_02 different albums . How many pictures were in each album ?,( N_00 - N_01 ) / N_02,3.0,25.0 10.0 5.0
The total number of students in year N_00 at a high school is N_01 . There are N_02 more girls than boys . How many boys are there ?,( N_01 - N_02 ) / 2.0,78.0,8.0 180.0 24.0
Josh had N_00 pencils . He gave N_01 pencils to Dorothy . How many pencils does Josh have left ?,N_00 - N_01,111.0,142.0 31.0
Dorothy has N_00 cards . She gives N_01 to Harold . How many cards will Dorothy have ?,N_00 - N_01,67.0,72.0 5.0
Michelle has N_00 boxes of crayons . Each box holds N_01 crayons . How many crayons does Michelle have ?,N_00 * N_01,35.0,7.0 5.0
Harry starts with N_00 apples . He buys N_01 more . How many apples does Harry end with ?,N_00 + N_01,84.0,79.0 5.0
In fourth grade there were N_00 students at the start of the year . During the year N_01 students left and N_02 new students came to school . How many students were in fourth grade at the end ?,N_00 + N_00 - N_01,11.0,8.0 5.0 8.0
Greg and Sharon own neighboring cornfields . Greg harvested N_00 acre of corn on Monday and Sharon harvested N_01 acre . How many more acres did Greg harvest than Sharon ?,N_00 - N_01,0.3,0.4 0.1
"Shelby ’ s teacher gives out gold stars for great math work . Yesterday , Shelby earned N_00 gold stars . Today , she earned N_01 more . How many gold stars did Shelby earn in all ?",N_00 + N_01,7.0,4.0 3.0
"Sam , Dan , Tom , and Keith each have N_00 Pokemon cards . How many Pokemon cards do they have in all ?",4.0 * N_00,56.0,14.0
"Mrs. Hilt went to a concert . A total of N_00 people attended the concert . The next week , Mrs. Hilt went to a second concert , which had N_01 more people in attendance . How many people were at the second concert ?",N_00 + N_01,66018.0,65899.0 119.0
"For his car , Mike spent $ N_00 on speakers and $ N_01 on new tires . Mike wanted N_02 CD 's for $ N_03 but decided not to . In total , how much did Mike spend on car parts ?",N_00 + N_01,224.87,118.54 106.33 3.0 4.58
Jack is inviting N_00 friends to a party . He has N_01 cookies . How many cookies will each friend get ?,N_00 / N_00,1.0,4.0 4.0
"If a pair of shoes that cost N_00 dollars was marked down by N_01 % , how much do they cost now ?",N_00 - N_01 * 0.01 * N_00,46.0,50.0 8.0
"A treasure hunter discovered a buried treasure chest filled with a total of N_00 gems . N_01 of the gems were diamonds , and the rest were rubies . How many of the gems were rubies ?",N_00 - N_01,5110.0,5155.0 45.0
There are N_00 walnut trees currently in the park . Park workers will plant N_01 walnut trees today . How many walnut trees will the park have when the workers are finished ?,N_00 + N_01,10.0,4.0 6.0
"Faye had N_00 math problems and N_01 science problems for homework . If she finished N_02 of the problems at school , how many problems did she have to do for homework ?",N_00 + N_01 - N_02,15.0,46.0 9.0 40.0
"On Wednesday , Joan spent N_00 half - dollars playing pinball . The next day , she spent N_01 half - dollars on pinball . What was the total amount Joan spent playing pinball ?",N_00 * 0.5 + N_01 * 0.5,9.0,4.0 14.0
"Sally earns $ N_00 an hour cleaning houses . If she works for N_01 hours , how much money will she make ?",N_00 * N_01,150.0,12.5 12.0
"While playing at the arcade , Edward won N_00 tickets playing ' whack a mole ' and N_01 tickets playing ' skee ball ' . If he was trying to buy candy that cost N_02 tickets a piece , how many could he buy ?",( N_00 + N_01 ) / N_02,2.0,3.0 5.0 4.0
"They entered the circus tent and saw that there are N_00 sections for the audience . If each section can accommodate N_01 people , how many people can the tent accommodate in total ?",N_00 * N_01,984.0,4.0 246.0
Alyssa picked N_00 limes and Mike picked N_01 limes . Tom picked N_02 plums . How many limes were picked in all ?,N_00 + N_01,57.0,25.0 32.0 12.0
There are N_00 pencils in the drawer . Mike placed N_01 pencils in the drawer . How many pencils are now there in total ?,N_00 + N_01,71.0,41.0 30.0
"A chef needs to cook N_00 potatoes . He has already cooked N_01 . If each potato takes N_02 minutes to cook , how long will it take him to cook the rest ?",N_02 * ( N_00 - N_01 ),48.0,13.0 5.0 6.0
N_00 birds were sitting in a tree . Some more fly up to the tree . Then there were N_01 birds in the tree . How many more fly up to the tree ?,N_01 - N_00,81.0,231.0 312.0
Tori was N_00 feet tall . Then she grew N_01 feet taller . How tall is Tori now ?,N_00 + N_01,7.26,4.4 2.86
"While on vacation , Debby took N_00 pictures at the zoo and N_01 at the museum . If she later deleted N_02 of the pictures , how many pictures from her vacation did she still have ?",N_00 + N_01 - N_02,22.0,24.0 12.0 14.0
There are N_00 pigs in the barn . Some more come to join them . Now there are N_01 pigs . How many pigs came to join them ?,N_01 - N_00,22.0,64.0 86.0
There are N_00 eggs in each box . How many eggs are in N_01 boxes ?,N_00 * N_01,6.0,3.0 2.0
"Jessica , Sandy , and Jason each have N_00 pencils . How many pencils do they have have in all ?",3.0 * N_00,24.0,8.0
Teresa starts with N_00 bananas . She gets N_01 more from Rachel . How many bananas does Teresa end with ?,N_00 + N_01,54.0,52.0 2.0
Billy has N_00 crayons . N_01 are eaten by a hippopotamus . How many crayons will Billy have ?,N_00 - N_01,10.0,62.0 52.0
Wendy ran N_00 miles and walked N_01 miles . How much farther did Wendy run than walk ?,N_00 - N_01,10.666666666666666,19.833333333333332 9.166666666666666
"Haley picked N_00 carrots from her garden . If she threw out N_01 of them and then picked N_02 more the next day , how many carrots would she have total ?",N_00 + N_02 - N_01,26.0,28.0 11.0 9.0
"On Saturday , Sara spent $ N_00 each on N_01 tickets to a movie theater . She also rented a movie for $ N_02 , and bought a movie for $ N_03 . How much money in total did Sara spend on movies ?",N_00 * N_01 + N_02,36.78,10.62 2.0 1.59 13.95
Bert runs N_00 miles every day . How many miles will Bert run in N_01 weeks ?,N_00 * ( N_01 * 7.0 ),42.0,2.0 3.0
"A chef needs to cook N_00 potatoes . He has already cooked N_01 . If each potato takes N_02 minutes to cook , how long will it take him to cook the rest ?",N_02 * ( N_00 - N_01 ),72.0,15.0 6.0 8.0
"Jason went to the mall on Saturday to buy clothes . He spent $ N_00 on shorts and $ N_01 on a jacket . In total , how much money did Jason spend on clothing ?",N_00 + N_01,19.02,14.28 4.74
A restaurant served N_00 hot dogs during lunch and N_01 during dinner today . It served N_02 of them yesterday . How many hot dogs were served today ?,N_00 + N_01,11.0,9.0 2.0 5.0
Elizabeth is inviting N_00 friends to a party . She has N_01 cookies . How many cookies will each friend get ?,N_00 / N_00,1.0,5.0 5.0
"Maggie bought N_00 packs of red bouncy balls , N_01 packs of yellow bouncy balls , and N_02 packs of green bouncy balls . There were N_03 bouncy balls in each package . How many bouncy balls did Maggie buy in all ?",( N_00 + N_00 + N_01 ) * N_03,160.0,4.0 8.0 4.0 10.0
"A pet shelter had N_00 puppies when another N_01 were brought in . If N_02 puppies a day are adopted , how long would it take for all of them to be adopted ?",( N_00 + N_00 ) / N_00,2.0,3.0 3.0 3.0
"Paul made N_00 dollars mowing lawns and N_01 dollars weed eating . If he only spent N_02 dollar a week , how long would the money last him ?",( N_00 + N_01 ) / N_02,9.0,68.0 13.0 9.0
There are N_00 pencils in the drawer . Tim placed N_01 pencils in the drawer . How many pencils are now there in total ?,N_00 + N_01,5.0,2.0 3.0
The farmer had N_00 apples . He gave N_01 apples to his neighbor . How many apples does he have now ?,N_00 - N_01,39.0,127.0 88.0
"Jovana filled her bucket with N_00 pounds of shells . If she adds N_01 more pounds of shell to fill her bucket , how many pounds does she have ?",N_00 + N_01,17.0,5.0 12.0
Joan grew N_00 watermelons and N_01 turnips . Tom grew N_02 watermelons . How many watermelons did they grow in total ?,N_00 + N_02,17.0,8.0 4.0 9.0
"For the school bake sale Robin made N_00 cupcakes . If she sold N_01 of them and then made N_02 more , how many cupcakes would she have ?",N_00 + N_02 - N_01,59.0,42.0 22.0 39.0
Pamela has N_00 Skittles . She gives N_01 to Karen . How many Skittles will Pamela have ?,N_00 - N_01,43.0,50.0 7.0
"Tiffany was playing a video game and had N_00 lives . In a hard part of the game she lost N_01 lives . If she got N_02 more lives in the next level , how many lives would she have ?",N_00 + N_02 - N_01,56.0,43.0 14.0 27.0
"The school cafeteria ordered N_00 red apples and N_01 green apples for students lunches . But , if only N_02 students wanted fruit , how many extra did the cafeteria end up with ?",N_00 + N_01 - N_02,40.0,42.0 7.0 9.0
"Emily 's team won their dodgeball game and scored N_00 points total . If Emily scored N_01 of the points and everyone else scored N_02 points each , how many players were on her team ?",( N_00 - N_01 ) / N_02,8.0,39.0 23.0 2.0
"There were N_00 friends playing a video game online when N_01 players quit . If each player left had N_02 lives , how many lives did they have total ?",N_02 * ( N_00 - N_01 ),72.0,16.0 7.0 8.0
"The cafeteria had N_00 apples . For lunch they handed out N_01 to students and decided to use the rest to make pies . If each pie takes N_02 apples , how many pies could they make ?",( N_00 - N_01 ) / N_02,7.0,86.0 30.0 8.0
"There were N_00 friends playing a video game online when N_01 players quit . If each player left had N_02 lives , how many lives did they have total ?",N_01 * ( N_00 - N_01 ),15.0,8.0 3.0 3.0
"Ned had to wash N_00 short sleeve shirts and N_01 long sleeve shirts before school . If he had only washed N_02 of them by the time school started , how many did he not wash ?",N_00 + N_01 - N_02,1.0,9.0 21.0 29.0
Katherine has N_00 bottle caps . N_01 are eaten by a hippopotamus . How many bottle caps will Katherine have ?,N_00 - N_01,26.0,34.0 8.0
Dan has N_00 blue marbles . Mary has N_01 times more blue marbles than Dan . How many blue marbles does Mary have ?,N_00 * N_01,10.0,5.0 2.0
Arthur has N_00 cards . Aaron has with N_01 cards . Aaron finds another N_02 . How many cards does Aaron end with ?,N_01 + N_02,67.0,6.0 5.0 62.0
"At the fair there were N_00 people in line for the bumper cars . If N_01 of them got tired of waiting and left and N_02 more got in line , how many people would be in line ?",N_00 + N_02 - N_01,25.0,30.0 10.0 5.0
"Janet was playing a video game and had N_00 lives . In a hard part of the game she lost N_01 lives . If she got N_02 more lives in the next level , how many lives would she have ?",N_00 + N_02 - N_01,54.0,38.0 16.0 32.0
There are N_00 orchid bushes currently in the park . Park workers will plant N_01 orchid bushes today . How many orchid bushes will the park have when the workers are finished ?,N_00 + N_01,6.0,2.0 4.0
"Jason picked N_00 pears , Keith picked N_01 pears , and Mike picked N_02 pears from the pear tree . How many pears were picked in total ?",N_00 + N_01 + N_02,105.0,46.0 47.0 12.0
"A tennis racket that regularly sells for N_00 dollars is on sale for N_01 % off the regular price . What is the sale price , in dollars ?",N_00 - 0.01 * N_00 * N_01,101.25,135.0 25.0
"N_00 stockbrokers are making cold calls to potential customers regarding a hot IPO . One of the brokers is able to get a new client every N_01 hour , and the other is able to get a new client every N_02 hour . At what rate , in clients per hour , are the new clients being acquired when both are working ?",1.0 / N_01 + 1.0 / N_02,13.0,2.0 0.125 0.2
"A chef needs to cook N_00 potatoes . He has already cooked N_01 . If each potato takes N_02 minutes to cook , how long will it take him to cook the rest ?",N_02 * ( N_00 - N_01 ),45.0,16.0 7.0 5.0
Hannah 's Vegetarian Restaurant bought N_00 pound of green peppers and N_01 pound of red peppers . How many pounds of peppers did Hannah 's Vegetarian Restaurant buy in all ?,N_00 + N_00,0.6666666666666666,0.3333333333333333 0.3333333333333333
"Nancy went to N_00 football games this month . She went to N_01 games last month , and plans to go to N_02 games next month . She paid N_03 dollars for the tickets . How many games will she attend in all ?",N_00 + N_01 + N_02,24.0,9.0 8.0 7.0 3.0
Jessica is baking a cake . The recipe calls for N_00 cups of flour and N_01 cups of sugar . She already put in N_02 cups of flour . How many cups of flour does she need to add ?,N_00 - N_02,4.0,8.0 2.0 4.0
"There were a total of N_00 football games this year , N_01 are played at night . Keith missed N_02 of the games . How many football games did Keith go to in total ?",N_00 - N_01,4.0,8.0 4.0 4.0
There were N_00 boys and N_01 girls on the playground at recess . How many children were on the playground in all ?,N_00 + N_01,97.0,44.0 53.0
"There were N_00 girls and N_01 boys trying out for the schools basketball team . If only N_02 of them got called back , how many students did n't make the cut ?",N_00 + N_01 - N_02,21.0,9.0 14.0 2.0
"Billy was putting his spare change into piles . He had N_00 piles of quarters and N_01 piles of dimes . If each pile had N_02 coins in it , how many coins did he have total ?",N_02 * ( N_00 + N_01 ),20.0,2.0 3.0 4.0
"Nina did a running drill to get in shape for soccer season . First , Nina ran N_00 mile . Then she ran N_01 mile and N_02 mile . How many miles did Nina run in total ?",N_00 + N_00 + N_02,0.8333333333333334,0.08333333333333333 0.08333333333333333 0.6666666666666666
Marcus has N_00 baseball cards . He has N_01 more than Carter . How many baseball cards does Carter have ?,N_00 - N_01,152.0,210.0 58.0
The school is planning a field trip . There are N_00 students and N_01 seats on each school bus . How many buses are needed to take the trip ?,N_00 / N_01,7.0,14.0 2.0
Tom has N_00 yellow balloons Sara has N_01 yellow balloons . How many yellow balloons do they have in total ?,N_00 + N_01,17.0,9.0 8.0
"When Joan was visited by the toothfairy , she received N_00 each of quarters , half - dollars , and dimes . How much money did the toothfairy leave Joan ?",N_00 * ( 0.25 + 0.5 + 0.1 ),11.9,14.0
"Nancy and her mom were picking carrots from their garden . Nancy picked N_00 and her mother picked N_01 . If only N_02 of the carrots were good , how many bad carrots did they have ?",N_00 + N_01 - N_02,14.0,38.0 47.0 71.0
The schools debate team had N_00 boys and N_01 girls on it . If they were split into groups of N_02 how many groups could they make ?,( N_00 + N_01 ) / N_02,8.0,11.0 45.0 7.0
"Debby 's class is going on a field trip to the zoo . If each van can hold N_00 people and there are N_01 students and N_02 adults going , how many vans will they need ?",( N_01 + N_02 ) / N_00,6.0,9.0 40.0 14.0
"Kaleen filled a bucket with N_00 gallon of water . A few minutes later , she realized only N_01 gallon of water remained . How much water had leaked out of the bucket ?",N_00 - N_01,0.25,0.75 0.5
"Bianca picked N_00 tulips and N_01 roses to make flower bouquets . If she only used N_02 of the flowers though , how many extra flowers did Bianca pick ?",N_00 + N_01 - N_02,7.0,39.0 49.0 81.0
A pet store had N_00 puppies . In one day they sold N_01 of them and put the rest into cages with N_02 in each cage . How many cages did they use ?,( N_00 - N_01 ) / N_02,9.0,64.0 28.0 4.0
"Allen , Shiela ’ s brother , likes to play with blocks . Shiela repainted Allen ’ s old blocks in different colors . If Allen has N_00 identical blocks and there are N_01 blocks for every color of paint used , how many colors did Shiela use ?",N_00 / N_01,7.0,49.0 7.0
If Stephanie ran for N_00 hours at N_01 miles per hour . How far did Stephanie go ?,N_00 * N_01,15.0,3.0 5.0
"For the school bake sale Carol made N_00 cupcakes . If she sold N_01 of them and then made N_02 more , how many cupcakes would she have ?",N_00 + N_02 - N_01,49.0,30.0 9.0 28.0
Henry wants to split a collection of crayons into groups of N_00 . Henry has N_01 crayons . How many groups will be created ?,N_01 / N_00,7.0,6.0 42.0
"While shopping for music online , Nancy bought N_00 country albums and N_01 pop albums . Each album came with a lyric sheet and had N_02 songs . How many songs did Nancy buy total ?",N_02 * ( N_00 + N_01 ),64.0,3.0 5.0 8.0
"While shopping for music online , Isabel bought N_00 country albums and N_01 pop albums . Each album came with a lyric sheet and had N_02 songs . How many songs did Isabel buy total ?",N_02 * ( N_00 + N_01 ),72.0,6.0 2.0 9.0
Joan had N_00 dimes in her bank . She spent N_01 of her dimes . How many dimes does she have now ?,N_00 - N_01,3.0,5.0 2.0
"While shopping for music online , Megan bought N_00 country albums and N_01 pop albums . Each album came with a lyric sheet and had N_02 songs . How many songs did Megan buy total ?",N_02 * ( N_00 + N_01 ),70.0,2.0 8.0 7.0
The clown blew up N_00 balloons . Then he blew up N_01 more balloons . How many balloons does the clown have now ?,N_00 + N_01,60.0,47.0 13.0
"Tom had N_00 books . If he sold N_01 of them and used the money he earned to buy N_02 new books , how many books would Tom have ?",N_00 + N_02 - N_01,39.0,5.0 4.0 38.0
Benny has N_00 blue marbles . Keith has N_01 times more blue marbles than Benny . How many blue marbles does Keith have ?,N_00 * N_01,30.0,6.0 5.0
"An oil pipe in the sea broke . Before engineers started to fix the pipe , N_00 liters of oil leaked into the water . While the engineers worked , the pipe leaked N_01 more liters of oil . In all , how many liters of oil leaked into the water ?",N_00 + N_01,11687.0,6522.0 5165.0
Sally had N_00 Pokemon cards . Dan gave her N_01 new Pokemon cards . Sally bought N_02 Pokemon cards . How many Pokemon cards does Sally have now ?,N_00 + N_01 + N_02,88.0,27.0 41.0 20.0
"Ellen made smoothies in the blender . She used N_00 cup of strawberries , N_01 cup of yogurt , and N_02 cup of orange juice . How many cups of ingredients did Ellen use for the smoothies ?",N_00 + N_00 + N_01,0.5,0.2 0.1 0.2
Sarah was planting vegetables in her garden . She started with N_00 seeds and planted N_01 of them in the big garden and in each of her small gardens put N_02 seeds each . How many small gardens did Sarah have ?,( N_00 - N_01 ) / N_02,3.0,21.0 12.0 3.0
"Katie baked N_00 cupcakes for her school 's bake sale . If her brother , Todd , ate N_01 of them how many packages could she make if she put N_02 cupcake in each package ?",( N_00 - N_01 ) / N_02,5.0,18.0 8.0 2.0
Haley uploaded N_00 pictures to Facebook . She put N_01 pics into one album and put the rest into N_02 different albums . How many pictures were in each album ?,( N_00 - N_01 ) / N_02,8.0,65.0 17.0 6.0
"Nancy goes fishing with Joan . They catch N_00 trout . If they equally split up the trout , how many will each one get ?",N_00 / 2.0,9.0,18.0
"Mike has N_00 orange marbles , he gave Sam N_01 of the marbles . How many orange marbles does he now have ?",N_00 - N_01,4.0,8.0 4.0
"Haley had N_00 music files and N_01 video files on her flash drive . If she deleted N_02 of the files , how many files were still on her flash drive ?",N_00 + N_01 - N_02,58.0,27.0 42.0 11.0
"A pet store has N_00 bird cages . If each cage has N_01 parrots and N_02 parakeets in it , how many birds does the pet store have total ?",N_00 * ( N_01 + N_02 ),40.0,4.0 8.0 2.0
There were a total of N_00 hockey games a month . The season is played for N_01 months . How many hockey games are in the seasons ?,N_00 * N_01,182.0,13.0 14.0
Joan has N_00 blue balloons Melanie has N_01 blue balloons . How many blue balloons do they have in total ?,N_00 + N_01,81.0,40.0 41.0
"Luke was helping the cafeteria workers pick up lunch trays , but he could only carry N_00 trays at a time . If he had to pick up N_01 trays from one table and N_02 trays from another , how many trips will he make ?",( N_01 + N_02 ) / N_00,9.0,4.0 20.0 16.0
A restaurant served N_00 slices of pie during lunch and N_01 during dinner today . It served N_02 of them yesterday . How many slices of pie were served today ?,N_00 + N_01,12.0,7.0 5.0 8.0
Alyssa 's cat had N_00 kittens and N_01 had spots . She gave N_02 to her friends . How many kittens does she now have ?,N_00 - N_02,4.0,8.0 8.0 4.0
